FishID,FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),BlurTop,BlurFront,Score,_SelectionMode,Weight (g)
fish2,16,0.8,20.0,20.0,23.648622139808115,3.2649105525471382,53.97322750807261,57.23432711025764,50.84508687656999,436.5036615439334,269.20317706091146,716.0668386048449,within,16.0
fish2,22,1.1,20.0,20.0,23.648622139808115,3.2649105525471382,22.488844795030253,56.95595003287311,50.82592433838467,436.299403998462,269.0935807067447,715.9929847052067,within,16.0
fish2,23,1.15,20.0,20.0,24.962434480908566,2.9021427133752336,22.93862169093085,54.56190716736624,51.75257693090937,436.138436126709,269.0926692484114,715.5511053751205,within,16.0
fish2,28,1.4,20.0,20.0,23.670446006993025,2.92306755546263,24.28795237863267,53.44839885782814,49.91736938502257,447.1440612654321,269.0933007588281,726.0773620242602,within,16.0
fish2,31,1.55,20.0,20.0,24.37256108647459,2.908425390033256,22.93862169093085,49.82949685182937,48.84728876564636,447.22892257961695,269.2511262796614,725.7400488592783,within,16.0
fish2,34,1.7,20.0,20.0,25.00759327187645,2.8952028811934283,10.344868605713916,50.27490017564459,49.125812550579,447.4091783243626,267.1753840921614,723.824562416524,within,16.0
fish2,38,1.9,20.0,20.0,25.18675997941887,2.810391762764515,17.9910758360242,52.947320118536005,50.34254511103336,447.8528501378754,267.0788020609113,724.8116521987866,within,16.0
fish2,41,2.05,20.0,20.0,25.128791036992805,3.031393217307334,9.445314813912706,51.88948722447482,50.03366708896999,447.9554934587644,267.07881508174466,724.5143085405091,within,16.0
fish2,42,2.1,20.0,20.0,24.64085256842264,2.8629825406728773,12.143976189316335,50.10787392921389,49.35764319935149,447.614855407696,267.07194008174474,723.7667954894408,within,16.0
fish2,289,14.45,20.0,20.0,24.15291409985247,3.0650754218267,8.09598412621089,51.22138223875197,48.64724087384474,458.43276041666667,268.6945767038558,736.5873371205225,within,16.0
fish2,290,14.5,20.0,20.0,24.38352188508141,3.2446942413956235,8.09598412621089,53.44839885782814,49.24989795530497,458.5113802083333,268.6962238392723,736.8876040476056,within,16.0
fish2,291,14.55,20.0,20.0,24.648179814679235,3.329199702069725,7.646207230310285,55.39703839951979,49.91460464500198,458.59357204859214,268.6982941517724,737.1718662003644,within,16.0
fish2,292,14.6,20.0,20.0,24.97107732370576,3.3258113466077948,8.09598412621089,57.06730086382693,50.7396101456689,458.5853342013701,268.698535037189,737.463869238559,within,16.0
