FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,VisScore_Top_Raw,VisScore_Front_Raw,VisScore_Top_Enhanced,VisScore_Front_Enhanced
fish2,16.0,6390,319.5,20.0,20.0,77.31455263259342,16.071180565403942,3.0666666666666664,1029.9772468714445,172.6256726642636,5684,483,27.765507274467566,10.07164384815428,151.51715112262184,87.4,64.1,65.9,49.4
fish2,16.0,6395,319.75,20.0,20.0,77.31455263259342,16.071180565403942,3.0666666666666664,1039.4577171027681,173.22538301673097,5545,545,27.759891063530063,10.072171179188624,148.73206224271868,87.4,64.1,66.0,49.4
fish2,16.0,6400,320.0,20.0,20.0,74.42799593463664,13.258656960788784,3.466666666666667,730.3943875616229,165.10258811913974,2141,599,27.673942606589247,9.909951036569804,80.40389364315905,87.8,64.2,66.1,49.3
fish2,16.0,6405,320.25,20.0,20.0,74.42799593463664,13.603777758533196,3.466666666666667,743.2878270762228,165.2950836332502,2167,599,27.691815813059872,9.966861864556206,80.99867767761609,87.8,64.4,66.1,49.3
fish2,16.0,6410,320.5,20.0,20.0,74.42799593463664,13.603777758533196,3.466666666666667,743.9514599924155,165.4368359098706,2124,675,27.63866926812066,9.935999232133232,80.0546685002539,87.8,64.4,66.1,49.3
fish2,16.0,6415,320.75,20.0,20.0,74.54055951649364,9.254319410436961,3.466666666666667,554.721274175199,159.4766867872664,1550,633,27.60851668955485,10.017903571065268,68.62642026062012,87.7,64.4,66.0,49.4
fish2,16.0,6420,321.0,20.0,20.0,7.36099919103134,6.7378449792439135,3.466666666666667,37.5237011755783,23.342040231008983,1014,639,27.656087141456133,10.098710855441622,58.03479799689776,87.6,64.4,65.9,49.3
fish2,16.0,6425,321.25,20.0,20.0,13.631478882863005,5.647326965757531,3.466666666666667,55.517633674630254,31.523218785980063,1503,639,27.538137133770228,10.053554649353023,67.65169178312325,87.6,64.4,65.9,49.4
fish2,16.0,6430,321.5,20.0,20.0,12.852537232413692,6.036797790982188,3.6,57.470610542282884,30.67151653240948,1552,661,27.61518177256644,10.122880850463442,68.77806262302988,87.6,64.3,65.9,49.4
fish2,16.0,6435,321.75,20.0,20.0,12.852537232413692,6.231533203594517,3.466666666666667,57.565415244596124,30.706471001888037,1556,864,27.660182029366197,10.099436827500663,68.87961885686686,87.6,64.3,65.8,49.4
fish2,16.0,6450,322.5,20.0,20.0,52.75823168515993,17.754462525289377,32.266666666666666,772.3928706863859,123.99307114118852,6207,20343,26.8452568356361,10.098173821502263,161.08343065713836,87.7,64.3,65.8,49.5
fish2,16.0,6455,322.75,20.0,20.0,45.064313859651584,16.870535916485686,32.266666666666666,581.5889268107697,108.72105034664,4699,20343,26.6521843641493,10.110234372287325,130.74241873643663,87.6,64.3,65.7,49.5
fish2,16.0,6460,323.0,20.0,20.0,46.16487380927876,7.582843671226606,32.266666666666666,315.83238528631017,99.81584937055942,2427,20530,26.7817589551384,10.069078775183364,85.39083773032176,87.2,64.3,65.8,49.5
fish2,16.0,8065,403.25,20.0,20.0,6.753928568486732,5.7148630348731215,2.933333333333333,30.640879787637463,20.838186098517962,837,234,27.394603259258496,10.137617093870375,54.27222035312887,87.0,64.3,65.8,49.5
fish2,16.0,8070,403.5,20.0,20.0,7.315418992945299,5.051122478802473,3.0666666666666664,26.962457337883954,19.774936379293738,732,368,27.351899112654323,10.150989489703711,52.142888602358035,87.0,64.3,65.8,49.5
fish2,16.0,8075,403.75,20.0,20.0,6.621004028819175,5.4525915531452025,2.2666666666666666,28.138035646568063,19.816380699788834,766,183,27.34622226291233,10.142119044992656,52.80834130790499,87.0,64.3,65.9,49.5
