FishID,View,FrameIndex,Method,MaskArea_px,MaskLength_px,MaskWidth_px,MaskPerimeter_px,Bbox_w_px,Bbox_h_px
fish11,front,2151,FastSAM,10378.5,131.0,83.0,421.6984843015671,40.288452,67.74451
fish11,front,2152,FastSAM,10374.5,131.0,83.0,421.6984843015671,40.527344,67.69342
fish11,front,2153,FastSAM,10379.0,131.0,83.0,423.5979790687561,40.468384,67.76027
fish11,front,2154,FastSAM,10384.0,131.0,83.0,423.5979790687561,40.40222,67.8371
fish11,front,2155,FastSAM,10411.0,131.0,83.0,433.94112491607666,39.707397,67.90173
fish11,front,2156,FastSAM,10439.0,131.0,83.0,423.5979790687561,40.487244,67.601685
fish11,front,2157,FastSAM,10289.5,130.0,83.0,421.8406196832657,40.93042,67.2832
fish11,front,2158,FastSAM,10285.5,129.99996948242188,82.99998474121094,421.8406196832657,40.828064,67.20648
fish11,front,2159,FastSAM,10430.0,131.0,83.0,422.7695519924164,40.429688,67.38365
fish11,front,2160,FastSAM,10437.0,131.0,83.0,422.7695519924164,40.428955,67.56964
fish11,front,2161,FastSAM,10433.0,131.0,83.0,422.7695519924164,40.398376,66.94765
fish11,front,2162,FastSAM,10433.0,131.0,83.0,422.7695519924164,40.38562,66.02478
fish11,front,2163,FastSAM,10442.5,131.0,83.0,424.5269113779068,40.25293,66.44452
fish11,front,2164,FastSAM,10403.5,131.0,83.0,425.3553384542465,40.73639,66.174576
fish11,front,2165,FastSAM,10431.5,131.0,83.0,433.6984843015671,39.824463,66.286255
fish11,front,2166,FastSAM,1470.0,39.0,39.0,151.3137083053589,39.552856,66.500015
fish11,front,2167,FastSAM,1463.5,39.0,39.0,148.3847759962082,40.555664,66.14703
fish11,front,2168,FastSAM,2970.5,67.0,47.0,216.87005722522736,40.802673,66.02875
fish11,front,2169,FastSAM,2978.5,67.0,47.0,220.3847759962082,39.916748,65.16547
